crossentropy,kl,score,klw,tfr,lr
85417.68331623077,6310.35084605217,0.06250562756961707,0.0,1.0,0.001
73443.84217071533,10565.440976917744,0.06355023132134723,0.001,1.0,0.001
66924.30870723724,20156.25853073597,0.05734799137172345,0.002,1.0,0.001
59522.623739004135,52472.11774456501,0.0779202627408194,0.003,1.0,0.001
53337.97548818588,80297.57746642828,0.07185345251389133,0.004,1.0,0.001
47221.25484228134,106694.28696835041,0.06469933313973097,0.005,1.0,0.001
41068.87003326416,138729.34797811508,0.07252231613028322,0.006,1.0,0.001
34843.18081188202,172803.59178209305,0.06753577598271775,0.007,1.0,0.001
29167.096212863922,198561.810213089,0.09567475923274373,0.008,1.0,0.001
24145.8294172287,219472.99802017212,0.10379589686991446,0.009000000000000001,1.0,0.001
21025.819137573242,233802.5408153534,0.12998327651766833,0.01,0.99,0.001
16768.08945083618,244587.13488388062,0.17282449225791185,0.011,0.99,0.001
13856.354449987411,249558.26048469543,0.17490975476847545,0.012,0.99,0.001
11687.53016424179,250366.55144882202,0.286110345261971,0.013000000000000001,0.99,0.001
9502.274843454361,250736.354970932,0.18737104968512838,0.014,0.99,0.001
8127.829837322235,245543.37484931946,0.35389987646384213,0.015,0.99,0.001
6969.663650274277,241976.68307495117,0.37007704877739156,0.016,0.99,0.001
5943.019620656967,236553.99670410156,0.3469109253645943,0.017,0.99,0.001
5131.154043197632,229400.09969329834,0.38283455093372537,0.018000000000000002,0.99,0.001
4608.338661193848,221000.71333503723,0.38580078271644797,0.019,0.99,0.001
4555.233876943588,216198.0232448578,0.42751483480878527,0.02,0.98,0.001
4067.2207581996918,208601.60135650635,0.392360293668685,0.021,0.98,0.001
3770.2544360160828,204403.19366645813,0.4820499949580541,0.022,0.98,0.001
3705.5866928100586,198658.63313293457,0.46060559572432097,0.023,0.98,0.001
3180.343904733658,192345.3502292633,0.4825985636300611,0.024,0.98,0.001
2992.539831638336,182836.4370136261,0.49914604129292317,0.025,0.98,0.001
3165.0951778888702,179206.89937400818,0.48633495896746054,0.026000000000000002,0.98,0.001
2724.0786833763123,175342.53769111633,0.539571773519013,0.027,0.98,0.001
2880.792836666107,169813.71530151367,0.5951213373723836,0.028,0.98,0.001
2694.885367870331,166831.5962753296,0.5292730879171006,0.029,0.98,0.001
2784.2334167957306,161803.83188819885,0.6257186236371046,0.03,0.97,0.001
2576.615048646927,159679.13259506226,0.5701913259373188,0.031,0.97,0.001
2671.273105621338,154460.0508594513,0.5890544464298689,0.032,0.97,0.001
2572.99977183342,151455.74298095703,0.6204341863550146,0.033,0.97,0.001
2656.3062796592712,146587.2970714569,0.5940046089479264,0.034,0.97,0.001
2550.8754777908325,144812.33912277222,0.6396530824851555,0.035,0.97,0.001
2587.831783771515,141167.19237327576,0.5372340036669714,0.036000000000000004,0.97,0.001
2598.7551515102386,138227.34290504456,0.5874190977635313,0.037,0.97,0.001
2550.958080291748,136241.82021522522,0.6270665984048719,0.038,0.97,0.001
2445.930412054062,133538.97600746155,0.6202081374098201,0.039,0.97,0.001
2605.438635826111,130748.80726242065,0.4891151146721677,0.04,0.96,0.001
2741.5450892448425,129388.95307540894,0.6028294512237946,0.041,0.96,0.001
2224.8590297698975,126995.9059047699,0.6704241675634017,0.042,0.96,0.001
2564.861002922058,124880.63495349884,0.6195759319698366,0.043000000000000003,0.96,0.001
2314.5414509773254,122398.44392967224,0.6911503530391802,0.044,0.96,0.001
2544.7871465682983,121226.1205291748,0.7023637436442377,0.045,0.96,0.001
2550.2865591049194,119354.60255622864,0.6671723639117221,0.046,0.96,0.001
2812.338538169861,117732.08027648926,0.6603214930700951,0.047,0.96,0.001
2753.1975648403168,115412.7227640152,0.7133060528976415,0.048,0.96,0.001
2333.4608025550842,114719.36397361755,0.700630296624707,0.049,0.96,0.001
2761.1912970542908,113636.67587280273,0.7154609721612233,0.05,0.95,0.001
2577.27064704895,111818.32743835449,0.6798169482207502,0.051000000000000004,0.95,0.001
2659.0306663513184,111051.90714550018,0.7084203692498535,0.052000000000000005,0.95,0.001
2778.810188770294,109269.61898517609,0.6208651635316296,0.053,0.95,0.001
2606.5819239616394,107739.69210147858,0.648161946381738,0.054,0.95,0.001
2549.158945083618,107030.53286361694,0.7377342598642234,0.055,0.95,0.001
2666.840034008026,105835.73948669434,0.7563968229124274,0.056,0.95,0.001
2974.618941783905,104486.02869796753,0.6775140035817324,0.057,0.95,0.001
2315.7422256469727,103026.58292579651,0.7492951317965597,0.058,0.95,0.001
2467.081775188446,102222.7852640152,0.6607090109211694,0.059000000000000004,0.95,0.001
2495.057319164276,101896.06217765808,0.7878370201757037,0.06,0.94,0.001
2845.118532180786,100798.47021770477,0.7405488931618887,0.061,0.94,0.001
2450.8045172691345,99756.7909860611,0.800135874713402,0.062,0.94,0.001
2723.368139743805,97970.7487821579,0.743970931626982,0.063,0.94,0.001
2615.160432577133,98344.42262458801,0.7232688604687894,0.064,0.94,0.001
3233.2152996063232,98055.49637126923,0.7703929306413743,0.065,0.94,0.001
2432.0384345054626,96499.09132957458,0.7683629849799101,0.066,0.94,0.001
2702.8354501724243,95156.94701862335,0.7015516678056548,0.067,0.94,0.001
3059.0918169021606,94913.5098104477,0.7946065390121692,0.068,0.94,0.001
2809.724920272827,93892.30587387085,0.7535849593547299,0.069,0.94,0.001
2957.3860063552856,94206.86105823517,0.8259294390846813,0.07,0.9299999999999999,0.001
2961.29008102417,93531.916431427,0.7249459120519106,0.07100000000000001,0.9299999999999999,0.001
2864.3464646339417,92722.35344028473,0.7522651128645612,0.07200000000000001,0.9299999999999999,0.001
2854.302501678467,91377.48179912567,0.7901825944881833,0.073,0.9299999999999999,0.001
3161.037699699402,91470.95265769958,0.7492444032150596,0.074,0.9299999999999999,0.001
3219.680446624756,90237.96271800995,0.7090293241386104,0.075,0.9299999999999999,0.001
3172.5306825637817,89880.9588432312,0.8083758999551867,0.076,0.9299999999999999,0.001
2900.374932527542,89231.2523393631,0.7891931084629354,0.077,0.9299999999999999,0.001
2971.926153421402,89401.35883998871,0.738240402735616,0.078,0.9299999999999999,0.001
2925.2338676452637,89304.5103225708,0.7630132609994007,0.079,0.9299999999999999,0.001
3355.7447147369385,88042.87727928162,0.7574365688348587,0.08,0.92,0.001
3255.8907651901245,86750.2249174118,0.7865892605853145,0.081,0.92,0.001
3215.0728764533997,86543.90491104126,0.723652508860786,0.082,0.92,0.001
3319.758632183075,86713.50046920776,0.723837292659032,0.083,0.92,0.001
3340.6318168640137,85211.76711845398,0.7738467574394072,0.084,0.92,0.001
3444.3236169815063,85345.83464431763,0.7331015931427699,0.085,0.92,0.001
3409.0748043060303,85660.38539028168,0.7653097627851675,0.08600000000000001,0.92,0.001
3423.8066658973694,84585.3930721283,0.8097636867334606,0.08700000000000001,0.92,0.001
